epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.372,1.29702,2.73971,1.41808,0.00869,0.9798,0.77171,0.49708,1.02455,3.34648,1.2989,0.00030006,0.00030006,0.00030006
2,195.07,1.19747,1.83323,1.33208,0.90471,0.40404,0.72862,0.44591,1.21501,3.07716,1.41057,0.000604467,0.000604467,0.000604467
3,291.708,1.25621,1.83135,1.43602,0.77383,0.56566,0.67597,0.36311,1.39941,2.69268,1.63807,0.000896217,0.000896217,0.000896217
4,388.728,1.26099,1.68468,1.42027,0.80594,0.65657,0.71257,0.36873,1.6814,2.74924,1.97147,0.00117531,0.00117531,0.00117531
5,484.638,1.26294,1.64388,1.39657,0.56339,0.46926,0.52829,0.2871,1.70983,2.88868,1.72839,0.00144175,0.00144175,0.00144175
6,580.843,1.29084,1.60121,1.40638,0.56571,0.52631,0.55076,0.3193,1.51116,3.57832,1.74427,0.00150047,0.00150047,0.00150047
7,676.627,1.29553,1.53903,1.4202,0.75952,0.57426,0.66696,0.42726,1.35305,2.29624,1.54133,0.00146716,0.00146716,0.00146716
8,771.506,1.26749,1.38707,1.38814,0.78243,0.69022,0.79079,0.44819,1.46441,2.40803,1.62163,0.00143385,0.00143385,0.00143385
9,866.58,1.18027,1.29519,1.32286,0.79379,0.54438,0.65311,0.39339,1.48907,2.02813,1.58184,0.00140055,0.00140055,0.00140055
10,963.172,1.23479,1.32485,1.34679,0.76621,0.75758,0.84817,0.541,1.25689,1.90094,1.42967,0.00136724,0.00136724,0.00136724
11,1058.35,1.15522,1.2456,1.29285,0.93423,0.71735,0.86529,0.54799,1.2501,1.43729,1.4796,0.00133393,0.00133393,0.00133393
12,1154.25,1.23595,1.27351,1.34991,0.92554,0.76768,0.89969,0.5211,1.27135,1.42009,1.4158,0.00130063,0.00130063,0.00130063
13,1250.21,1.21999,1.27794,1.32601,0.93126,0.68687,0.79676,0.52888,1.18436,1.44002,1.35109,0.00126732,0.00126732,0.00126732
14,1345.8,1.15054,1.18871,1.29043,0.90463,0.78788,0.9186,0.57658,1.23958,1.18852,1.4019,0.00123401,0.00123401,0.00123401
15,1441.95,1.21832,1.17907,1.33432,0.93427,0.85859,0.94342,0.55422,1.29826,1.14522,1.45633,0.00120071,0.00120071,0.00120071
16,1537.86,1.17289,1.0893,1.33016,0.94274,0.83838,0.94899,0.58326,1.25126,1.17486,1.47592,0.0011674,0.0011674,0.0011674
17,1633.21,1.13742,1.13294,1.30845,0.85866,0.91919,0.95363,0.65203,1.06699,1.04539,1.31342,0.00113409,0.00113409,0.00113409
18,1728.57,1.07091,1.07168,1.25119,0.95513,0.86015,0.9314,0.55874,1.30513,1.17311,1.51024,0.00110079,0.00110079,0.00110079
19,1824.86,1.0731,0.9594,1.2571,0.95875,0.93911,0.98251,0.64774,1.13841,0.86122,1.32729,0.00106748,0.00106748,0.00106748
20,1919.86,1.05687,0.92958,1.25345,0.9679,0.91381,0.95252,0.59646,1.1608,0.98275,1.38954,0.00103417,0.00103417,0.00103417
21,2014.89,1.11175,0.97045,1.29402,0.96039,0.87879,0.9356,0.63651,1.09992,0.94344,1.30843,0.00100087,0.00100087,0.00100087
22,2110.02,1.15784,0.99046,1.31971,0.90195,0.83631,0.89527,0.59876,1.08393,1.02005,1.31747,0.00096756,0.00096756,0.00096756
23,2205.63,1.05509,0.91713,1.25108,0.93801,0.91709,0.95672,0.66758,1.04764,0.846,1.28156,0.000934253,0.000934253,0.000934253
24,2300.82,1.03418,0.90877,1.23857,0.96402,0.89899,0.97656,0.69331,1.02746,0.82551,1.24637,0.000900947,0.000900947,0.000900947
25,2396.28,1.03502,0.9063,1.23958,0.97876,0.93089,0.98395,0.69328,1.01941,0.74669,1.24271,0.00086764,0.00086764,0.00086764
26,2491.46,1.0049,0.87877,1.21955,0.97412,0.87879,0.94725,0.6838,0.99071,0.78408,1.22903,0.000834333,0.000834333,0.000834333
27,2586.18,1.00742,0.8366,1.21374,0.96578,0.85526,0.95618,0.67163,0.97039,0.80138,1.21321,0.000801027,0.000801027,0.000801027
28,2682.53,0.99627,0.84441,1.22269,0.96424,0.94949,0.98476,0.70515,0.98714,0.71731,1.21042,0.00076772,0.00076772,0.00076772
29,2778.02,0.96869,0.85399,1.19204,0.94012,0.9899,0.99023,0.71059,0.97952,0.71454,1.22084,0.000734414,0.000734414,0.000734414
30,2873.89,0.96211,0.79186,1.18047,0.91267,0.95003,0.97374,0.69708,0.97008,0.71471,1.25132,0.000701107,0.000701107,0.000701107
31,2969.38,0.95835,0.80883,1.19908,0.88381,0.94949,0.965,0.70754,0.91202,0.71337,1.22501,0.0006678,0.0006678,0.0006678
32,3065.3,0.96479,0.77612,1.1818,0.95361,0.88889,0.96371,0.69126,0.95594,0.74563,1.21199,0.000634494,0.000634494,0.000634494
33,3160.87,0.9668,0.78336,1.18502,0.94579,0.88116,0.95389,0.679,0.95915,0.75559,1.20944,0.000601187,0.000601187,0.000601187
34,3256.85,0.95037,0.74449,1.19061,0.93641,0.88889,0.93529,0.65989,0.97743,0.74962,1.20384,0.00056788,0.00056788,0.00056788
35,3352.59,0.93217,0.71632,1.14752,0.9771,0.93939,0.97836,0.74693,0.85214,0.60066,1.13239,0.000534574,0.000534574,0.000534574
36,3448.02,0.90899,0.7199,1.17134,0.97741,0.9697,0.99124,0.72476,0.94922,0.59273,1.2162,0.000501267,0.000501267,0.000501267
37,3543.34,0.9116,0.72431,1.177,0.9974,0.94949,0.99215,0.72612,0.88715,0.59042,1.15447,0.00046796,0.00046796,0.00046796
38,3640.44,0.91588,0.72969,1.16309,0.97912,0.94757,0.98985,0.71433,0.90428,0.58624,1.17887,0.000434654,0.000434654,0.000434654
39,3736.35,0.95709,0.74405,1.1746,0.94932,0.94611,0.98757,0.72208,0.88951,0.6019,1.16412,0.000401347,0.000401347,0.000401347
40,3834.84,0.88836,0.74309,1.14011,0.95935,0.95366,0.98776,0.74719,0.81891,0.55682,1.12526,0.00036804,0.00036804,0.00036804
41,3933.17,0.78865,0.66728,1.08082,0.96901,0.94751,0.98291,0.75745,0.83483,0.60284,1.12008,0.000334734,0.000334734,0.000334734
42,4027.61,0.72523,0.56337,1.07559,0.98154,0.91919,0.98475,0.75596,0.81478,0.61785,1.10618,0.000301427,0.000301427,0.000301427
43,4122.72,0.74908,0.57006,1.0668,0.9928,0.89899,0.98155,0.76388,0.80086,0.58542,1.10227,0.00026812,0.00026812,0.00026812
44,4217,0.7835,0.57774,1.0932,0.98336,0.91919,0.96842,0.74139,0.82235,0.61502,1.11984,0.000234814,0.000234814,0.000234814
45,4311.62,0.78949,0.5632,1.09409,1,0.89893,0.97186,0.74405,0.80187,0.60019,1.10813,0.000201507,0.000201507,0.000201507
